County,Crime Rate per 100k,Murder,Rape,Robbery,Assault,Burglary,Larceny,MV Theft,Arson,Population
"Franklin County, KY",336.3680309,3,22,68,74,469,1224,86,9,49648
"Adams County, CO",336.32215310000004,22,274,238,1044,2175,9187,1464,101,469193
"Bastrop County, TX",336.30069239999995,0,51,20,184,505,1205,98,8,75825
"Lanier County, GA",336.2797848,0,4,4,27,83,114,12,0,10408
"Wilcox County, AL",336.0749978,0,1,5,32,45,103,11,2,11307
"Tate County, MS",334.8253621,1,5,16,73,153,319,25,2,28373
"Coconino County, AZ",334.70290539999996,4,47,56,350,555,3598,117,52,136539
"Labette County, KS",334.67202139999995,0,6,5,59,178,416,28,9,20916
"Lewis County, TN",334.420199,0,3,4,33,52,230,20,3,11961
"Sutter County, CA",333.508128,5,26,45,242,758,1786,288,15,95350
"Seward County, KS",333.47584439999997,0,13,7,58,163,423,21,0,23390
"Sevier County, TN",333.4402052,1,30,44,237,1364,2529,206,8,93570
"Berkshire County, MA",333.371918,0,67,55,311,891,1885,93,16,129585
"Clay County, MS",333.20266560000005,4,8,8,48,147,265,3,0,20408
"Washington County, CO",333.12513010000004,0,3,0,13,15,57,5,1,4803
"Hamilton County, IA",333.0721003,0,0,3,48,70,175,20,2,15312
"Houston County, GA",331.8479188,8,31,166,285,1142,4198,211,18,147658
"Berks County, PA",331.78484289999994,21,94,481,776,2462,6058,797,45,413521
"Russell County, KS",331.7467186,0,1,0,22,40,87,13,1,6933
"Lucas County, IA",331.5801509,0,3,1,25,59,146,25,4,8746
"Cabell County, WV",331.5042262,2,31,142,147,1289,3150,203,68,97133
"Seminole County, FL",331.39085539999996,17,86,357,985,2478,7200,504,17,436041
"Aiken County, SC",331.3517201,13,53,108,370,1618,4344,571,6,164176
"Crawford County, KS",330.97408219999994,1,24,10,96,371,1334,73,19,39278
"Ashland County, WI",330.9190809,0,1,2,50,78,411,14,1,16016
"Appanoose County, IA",330.9171131,0,6,0,36,141,218,23,11,12692
"Manassas city, VA",330.8955761,3,8,51,76,111,745,48,7,41705
"Albany County, NY",330.6781345,5,69,318,623,1497,7210,265,19,306945
"Matagorda County, TX",330.67337119999996,1,11,19,90,290,770,23,5,36592
"Indiana County, PA",330.5031626,5,29,16,240,310,990,53,10,87745
"Montgomery County, IL",330.4781817,0,5,3,90,102,388,16,4,29654
"Minnehaha County, SD",329.5479849,2,139,60,391,863,3595,271,54,179640
"Webster Parish, LA",329.41639219999996,1,11,13,109,153,351,32,1,40678
"Marion County, AR",328.6670724,0,6,1,47,117,190,6,1,16430
"Lamar County, GA",328.5260872,3,8,7,41,79,384,34,4,17959
"Gordon County, GA",328.20991089999995,4,10,11,158,345,1110,63,1,55757
"Blaine County, ID",328.1916639,1,4,0,65,61,114,24,2,21329
"San Luis Obispo County, CA",327.73483139999996,6,69,78,753,1568,4266,418,87,276443
"Nacogdoches County, TX",327.56773300000003,1,24,30,159,430,1358,67,5,65330
"Talladega County, AL",326.77320710000004,3,25,39,198,1028,2262,185,8,81096
"Duplin County, NC",326.2099727,9,15,24,148,633,806,64,12,60084
"Webster County, WV",326.0991791,3,0,1,25,26,29,4,0,8893
"Yadkin County, NC",325.9897997,2,6,6,110,376,552,35,6,38038
"Washington County, AL",325.88730219999997,2,3,3,46,68,146,23,6,16877
"West Baton Rouge Parish, LA",325.56057460000005,4,2,7,67,72,565,34,1,24573
"Lincoln Parish, LA",324.7985827,3,12,29,110,378,889,23,0,47414
"Union County, TN",324.57334310000005,2,7,9,44,237,403,47,13,19102
"Tama County, IA",324.3058716,0,2,0,55,45,63,9,17,17576
"Citrus County, FL",323.82908139999995,5,26,57,363,737,1971,129,16,139271
"Lake County, FL",323.6655694,8,65,130,794,2003,4934,375,25,308034
"Wood County, WV",323.4414167,1,28,35,216,619,1876,109,29,86569
"Lake County, TN",323.3734316,0,0,2,23,28,56,4,4,7731
"Wilson County, TN",323.09647789999997,4,17,44,329,569,1855,160,5,121945
"Valley County, ID",322.7149698,0,9,0,22,47,151,6,1,9606
"Craighead County, AR",322.205581,4,29,82,212,1387,2285,110,18,101488
"Pierce County, GA",322.1037068,0,4,16,41,143,218,13,0,18938
"Stillwater County, MT",321.95750160000006,0,4,1,25,54,62,6,1,9318
"Salt Lake County, UT",321.9350184,27,487,773,2188,6584,35187,4226,128,1079721
"Sabine Parish, LA",321.8485661,0,3,6,69,73,472,4,0,24235
"Howell County, MO",321.8379422,1,6,4,119,312,1074,65,4,40393
"Shelby County, TX",321.80521089999996,5,10,18,50,169,373,34,3,25792
"Logan County, KS",321.65832739999996,0,0,0,9,8,15,1,0,2798
"Putnam County, WV",321.270962,1,8,9,164,157,655,31,1,56650
"McDowell County, WV",320.94270930000005,0,6,5,56,91,171,105,3,20876
"Ripley County, MO",320.69555299999996,0,1,1,43,95,361,17,2,14032
"Dodge County, GA",320.4373027,0,5,4,59,211,714,20,0,21221
"Swain County, NC",320.10243280000003,1,4,1,39,120,195,10,0,14058
"McLean County, IL",320.0742068,1,73,84,401,770,2793,89,25,174647
"Waynesboro city, VA",319.804355,0,11,9,48,88,623,39,1,21263
"Yavapai County, AZ",319.80216889999997,12,44,47,584,943,3186,221,42,215133
"San Augustine County, TX",319.3066484,0,1,3,24,36,79,13,1,8769
"Beaver County, PA",319.1958381,6,36,84,417,632,3048,129,14,170115
"Pasco County, FL",319.03125539999996,12,107,304,1094,3597,8943,657,91,475502
"Licking County, OH",318.9309577,0,87,66,384,1087,3618,151,55,168375
"Lowndes County, GA",318.8210705,5,44,97,214,901,2342,111,13,112916
"Lee County, TX",318.7394756,0,5,3,45,91,226,12,0,16628
"Suffolk city, VA",318.4490482,2,30,52,189,357,1823,95,20,85728
"Doniphan County, KS",318.4307732,0,2,0,23,46,56,13,2,7851
"Ford County, IL",318.1029497,0,11,1,32,64,122,3,0,13832
"Geneva County, AL",318.03045610000004,0,7,5,73,162,394,34,9,26727
"Edgar County, IL",317.3719376,0,4,3,50,88,154,12,2,17960
"Franklin County, MA",317.3221381,1,19,26,180,484,734,28,7,71221
"Mesa County, CO",317.1720184,5,108,44,311,573,3456,262,35,147554
"Jackson County, OR",316.9579707,4,76,82,499,1029,6491,317,71,208545
"Sarasota County, FL",316.8309731,17,71,288,861,2741,7901,378,26,390429
"Hidalgo County, TX",316.79076860000004,30,202,474,1879,6465,22631,1421,171,815996
"Lee County, GA",316.4665818,1,1,5,85,150,453,27,2,29071
"Crawford County, AR",316.35301749999996,1,24,8,162,456,1060,70,1,61640
"Jackson County, MI",316.14588849999996,7,67,71,362,723,2280,159,44,160369
"Franklin County, AR",316.06964619999997,2,7,2,46,99,287,24,3,18034
"Troup County, GA",315.69953510000005,5,15,76,122,706,1935,119,7,69053
"Pawnee County, KS",315.59317169999997,0,5,0,17,48,94,6,1,6971
"Marshall County, SD",314.9275667,0,6,0,9,11,24,5,0,4763
"Danville city, VA",314.6339758,3,14,54,64,424,1483,45,15,42907
"Chariton County, MO",314.63030939999993,0,1,0,23,28,50,3,3,7628
"Faulkner County, AR",314.4338518,4,62,80,230,1064,2823,228,15,119580
"Little River County, AR",314.2183818,0,8,1,31,61,165,5,3,12730
"Ozark County, MO",313.80753139999996,1,2,2,25,82,55,2,1,9560
"Harmon County, OK",313.6981527,1,0,2,6,34,56,3,0,2869
"Cherokee County, SC",313.14306160000007,3,14,20,138,338,584,97,3,55885
"Rowan County, NC",313.03543160000004,3,26,129,276,1306,2784,208,20,138323
"Polk County, IA",312.8341713,8,147,280,978,3410,10775,988,79,451677
"Mono County, CA",312.6332244,0,4,9,31,86,170,2,1,14074
"Chowan County, NC",312.3726742,0,0,15,31,138,226,16,4,14726
"Lonoke County, AR",312.3542465,0,28,18,174,864,1145,121,15,70753
"Quay County, NM",311.7063034,0,2,4,21,125,144,10,0,8662
"St. Joseph County, MI",311.65933989999996,0,61,7,122,256,853,52,7,60964
"Catawba County, NC",311.349396,13,34,119,316,1555,4057,292,36,154810
"Adair County, OK",310.8948364,1,7,1,60,156,157,20,7,22194
"Grant County, AR",310.78306230000004,1,3,3,49,137,219,22,4,18019
"Henry County, TN",310.4625893,1,8,12,79,293,684,31,0,32210
"Garfield County, WA",310.28368789999996,0,1,0,6,16,35,2,1,2256
"Marion County, TN",310.1430887,0,1,4,83,116,380,46,1,28374
"Craven County, NC",310.0804869,3,24,61,236,1888,2116,145,9,104489
"Gunnison County, CO",309.5376282,0,5,2,41,35,260,13,0,15507
"Vanderburgh County, IN",309.26471069999997,8,56,199,298,1132,4544,422,76,181398
"Howard County, AR",309.2555776,0,6,2,35,120,297,4,0,13581
"Hardy County, WV",308.908046,0,3,0,40,32,54,9,2,13920
"Kankakee County, IL",308.59793080000003,8,49,82,207,658,2195,94,46,112120
"Indian River County, FL",308.46373789999996,1,17,64,356,851,2830,102,1,141994
"Somerset County, MD",308.3012979,3,9,9,60,147,338,9,4,26273
"Bates County, MO",308.1570997,0,0,1,50,115,336,40,3,16550
"Butte County, CA",307.98325,11,75,167,431,1919,3147,593,62,222090
"Mahnomen County, MN",307.3029646,0,3,0,14,36,74,4,0,5532
"Stephens County, OK",307.21966210000005,3,19,19,97,441,1018,70,4,44919
"Wayne County, IL",307.00698289999997,0,3,1,47,87,198,4,2,16612
"Stewart County, TN",306.8402934,1,1,3,36,61,94,13,4,13362
"Jefferson County, GA",306.37254900000005,0,1,17,32,121,210,13,0,16320
"Kearny County, KS",305.8883508,0,2,0,10,17,44,2,0,3923
"Panola County, TX",305.82320899999996,0,7,8,58,208,437,44,4,23870
"Pecos County, TX",305.7909155,1,4,2,41,74,255,2,1,15697
"Hartford County, CT",305.5867265,34,129,1153,1429,4293,16180,2020,140,898272
"Woodbury County, IA",305.4929991,3,36,46,227,709,2830,222,20,102130
"Cowlitz County, WA",305.3210289,4,79,66,162,872,2742,237,51,101860
"Lafayette County, FL",305.1537071,1,1,1,24,28,38,1,1,8848
"Riverside County, CA",304.8627551000001,76,322,2349,4242,19105,39880,9191,241,2292507
"Sheridan County, NE",304.7038659,0,2,1,13,17,68,4,4,5251
"Clearfield County, PA",304.2846232,0,37,12,198,325,1454,43,19,81174
"Jackson County, TN",303.8985847,0,0,2,33,83,131,17,3,11517
"Washington County, MS",303.89631299999996,11,24,54,62,1242,1693,142,85,49688
"Adams County, IL",303.88797850000003,0,28,16,160,287,1251,30,9,67130
"Iron County, UT",303.548525,1,23,5,113,218,832,53,4,46780
"Stark County, OH",303.3838352,13,126,583,417,3773,7549,719,98,375432
"St. Louis County, MO",303.36194539999997,38,154,732,2114,5444,19368,1961,123,1001444
"Cass County, TX",303.32003560000004,2,11,8,71,298,376,41,1,30331
"Broome County, NY",303.2389361,7,59,135,398,1252,4891,126,27,197534
"Jefferson County, TN",303.1291368,3,12,26,117,399,957,68,5,52123
"Hertford County, NC",302.8938644,4,5,15,50,225,350,35,6,24431
"Tyler County, TX",302.83265,1,9,1,54,130,134,19,3,21464
"Tippecanoe County, IN",302.48537519999996,1,63,87,394,1032,3725,275,16,180174
"Bay County, MI",302.343867,1,69,41,212,453,1573,89,15,106832
"Kauai County, HI",302.1061112,0,29,22,159,689,1753,151,10,69512
"Richland Parish, LA",302.05686339999994,0,2,3,58,75,369,14,1,20857
"Knox County, IL",301.4708706,2,20,14,121,340,1032,22,4,52078
"Jack County, TX",301.4402144,0,6,0,21,39,99,14,1,8957
"Carroll County, GA",300.8321837,3,35,71,229,903,2402,162,8,112355
"Midland County, TX",300.3934825,5,22,54,374,700,2728,216,9,151468
"Greene County, GA",300.2267018,1,0,4,44,100,340,11,0,16321
"Carbon County, UT",300.17152660000005,9,11,1,42,211,619,35,4,20988
"Walton County, GA",299.6944749,21,27,42,167,817,1719,163,4,85754
"Polk County, TN",299.5805872,4,1,2,43,115,210,41,0,16690
"Madison County, AR",299.34399080000003,0,9,0,38,48,77,7,3,15701
"Sullivan County, PA",299.1654858,0,1,0,18,44,50,4,0,6351
"Banks County, GA",298.66956289999996,0,2,1,52,109,428,29,0,18415
"Maverick County, TX",298.5768433,3,4,4,156,512,993,42,1,55932
"Clark County, OH",298.16328480000004,5,45,182,174,1753,3708,213,93,136167
"Arapahoe County, CO",297.9886998,22,265,552,970,2879,11787,1348,110,607070
"Scott County, KS",297.9145978,0,3,0,12,16,60,5,0,5035
"Mitchell County, KS",297.89902789999996,0,3,0,16,15,45,3,1,6378
"Jackson County, MS",296.90281239999996,5,74,103,235,1406,3153,323,19,140450
"Lyon County, NV",296.758927,1,19,12,121,322,729,73,10,51557
"Buena Vista County, IA",296.5916274,0,3,0,58,90,217,13,5,20567
"Wakulla County, FL",296.563729,0,13,4,75,149,513,22,7,31022
"Ochiltree County, TX",296.1317786,0,0,0,32,35,110,12,4,10806
"Wayne County, IN",296.0540851,7,51,55,88,613,1259,143,41,67893
"Cass County, ND",296.0160659,1,82,54,345,620,2813,200,23,162829
"Mineral County, WV",295.9861392,0,7,6,69,131,287,17,1,27704
"Boone County, IA",295.85798819999997,1,12,2,63,122,234,6,3,26364
"Kootenai County, ID",295.2899179,1,58,23,343,1173,3096,274,37,144265
"Hernando County, FL",295.22875930000004,2,46,71,396,1249,3213,166,7,174441
"Marion County, IL",295.1685568,0,12,15,87,292,944,52,8,38622
"Macon County, TN",295.1411832,0,2,0,65,56,149,26,1,22701
"Sumner County, TN",294.869973,2,31,41,423,674,2327,108,31,168888
"Lawrence County, AL",294.7569,0,4,6,89,206,362,49,5,33587
"Overton County, TN",294.45073610000003,1,3,2,59,119,167,13,5,22075
"Washtenaw County, MI",294.4331527,6,159,188,690,2339,5739,441,85,354240
"Mille Lacs County, MN",294.1973445,0,17,11,48,195,592,53,3,25833
"Lake County, OR",294.11764710000006,0,4,0,19,7,14,3,0,7820
"Colorado County, TX",293.9475713,4,13,2,42,120,255,22,0,20752
"Grant County, WA",293.8679553,5,47,48,170,907,2423,287,24,91878
"Carteret County, NC",293.71365110000005,4,30,20,147,618,1354,78,7,68434
"Dooly County, GA",293.6241611,0,1,5,36,38,125,5,0,14304
"Scott County, MS",293.5663,1,4,17,62,153,174,27,7,28273
"Surry County, NC",292.95003419999995,7,15,28,164,679,1466,121,19,73050
"Davison County, SD",292.58941630000004,0,19,3,36,62,364,24,3,19823
"Lewis and Clark County, MT",292.3260583,3,39,15,134,205,1135,65,11,65338
"Perry County, TN",292.2861863,0,1,1,21,33,66,8,1,7869
"Glades County, FL",292.2442863,0,3,1,35,72,111,11,0,13345
"Jasper County, IL",291.90992489999996,0,1,0,27,27,72,7,1,9592
"Fairfield County, CT",291.83831539999994,33,485,948,1277,3214,11574,1515,65,939904
"Claiborne County, MS",291.7972549,2,5,5,15,136,90,21,4,9253
"Missoula County, MT",291.5738728,0,42,43,241,468,3028,147,18,111807
"Union Parish, LA",290.90583599999997,0,1,2,62,86,208,6,0,22344
"Mitchell County, GA",290.73551749999996,0,3,12,52,119,415,29,0,23045
"Macomb County, MI",290.72182069999997,4,312,438,1731,3591,12722,1931,128,854769
"Terry County, TX",290.3554893,0,3,7,27,80,138,7,2,12743
"Carbon County, MT",290.1353965,0,7,0,23,24,90,9,2,10340
"Camp County, TX",290.018529,0,5,3,28,106,226,7,4,12413
"Perry County, AR",289.99516669999997,0,4,1,25,37,127,7,0,10345
"Lake County, MI",289.8296153,0,11,0,22,140,130,3,2,11386
"Deer Lodge County, MT",289.4200879,1,5,0,21,13,163,8,0,9329
"Custer County, OK",289.34200219999997,1,12,3,69,138,331,41,1,29377
"Franklin County, TN",289.3335603,4,13,5,97,222,564,39,5,41129
"Grant County, KS",289.3081761,0,0,1,22,41,63,8,2,7950
"Humboldt County, CA",289.23438389999995,2,39,130,218,1130,3212,508,48,134493
"Jasper County, SC",289.1584363,9,14,25,29,201,547,62,8,26629
"Polk County, AR",289.1306478,1,9,3,46,214,360,13,8,20406
"Eureka County, NV",289.017341,0,2,0,4,14,13,2,0,2076
"Clark County, WI",288.8920988,0,0,1,99,80,177,18,4,34615
"Orange County, NY",288.8772924,9,68,377,632,1361,6868,242,35,375592
"Iredell County, NC",288.7239617,1,31,89,354,1650,3251,247,19,164517
"Jerome County, ID",288.7092476,0,13,7,45,138,186,21,6,22514
"Mills County, IA",288.6680988,0,6,5,32,143,185,38,4,14896
"Jefferson County, MS",288.3733124,0,1,0,21,12,30,0,1,7629
"Upshur County, TX",288.3361749,1,11,11,92,345,616,56,3,39884
"Yellowstone County, MT",288.0087181,3,40,73,328,975,4176,488,25,154162
"Blaine County, MT",287.7044216,0,1,0,18,3,22,2,0,6604
"Crawford County, MI",287.68699649999996,0,11,1,28,84,136,8,2,13904
"Miller County, GA",286.5812542,0,1,1,15,27,79,11,1,5932
"Kit Carson County, CO",286.176434,0,4,0,19,15,84,7,0,8037
"Greene County, IL",286.15452339999996,0,1,0,38,48,85,1,1,13629
"Allen County, IN",285.3884423,24,105,469,438,2308,8185,518,64,363014
"Richland County, MT",285.3575887,0,1,2,29,50,153,26,1,11214
"Warren County, MO",284.8571169,0,5,4,85,170,619,29,5,32999
"Hancock County, TN",284.4737236,0,2,0,17,47,132,8,1,6679
"Elmore County, AL",284.2945786,4,23,44,159,665,1367,85,14,80902
"Chippewa County, MI",284.2671077,1,17,1,91,126,462,27,5,38696
"Donley County, TX",283.9295855,0,0,0,10,12,18,4,0,3522
"Washington County, IL",283.77630120000003,0,0,1,40,30,69,0,0,14448
"Martinsville city, VA",283.5332606,1,6,7,25,77,320,20,5,13755
"Northampton County, NC",283.12299049999996,1,5,9,44,205,184,31,2,20839
"Lamb County, TX",283.12159710000003,1,1,5,32,119,246,18,4,13775
"Barber County, KS",282.9997979,0,1,0,13,15,68,13,2,4947
"Levy County, FL",282.51437799999997,0,18,5,89,323,590,45,1,39644
"Toombs County, GA",282.33051,3,8,14,52,235,610,34,1,27273
"Van Buren County, MI",282.28745610000004,0,50,13,150,418,1127,88,14,75455
"Humboldt County, NV",282.2092956,2,0,2,45,62,111,24,2,17363
"Pettis County, MO",281.9571141,0,6,16,97,497,1389,86,9,42205
"Mingo County, WV",281.85328189999996,3,2,5,63,86,177,31,1,25900
"St. Johns County, FL",281.4254437,8,14,58,510,929,3514,167,4,209647
"Luzerne County, PA",281.15950180000004,17,88,233,562,1661,5892,354,55,320103
"Barry County, MO",281.119982,0,7,7,86,363,940,67,10,35572
"Broadwater County, MT",281.0962755,0,2,0,14,3,40,1,2,5692
"Greene County, AR",280.762002,2,15,17,87,685,1077,93,7,43097
"Washington County, FL",280.214425,0,3,4,62,100,283,17,2,24624
"Marion County, AL",280.2136217,1,7,3,74,201,402,42,5,30334
"Yazoo County, MS",279.7403436,1,7,16,54,252,239,23,0,27883
"Scott County, IN",279.4927415,2,10,8,46,274,756,25,1,23972
"Jasper County, GA",279.39122119999996,0,4,0,34,75,110,10,0,13601
"Harford County, MD",279.2769296,3,54,156,483,1020,2817,206,41,249215
"Glenn County, CA",279.1696492,0,2,7,69,230,400,102,7,27940
"Rensselaer County, NY",278.89293260000005,9,29,130,278,964,3032,135,9,159918
"Warren County, IA",278.8575292,0,21,0,112,226,383,41,19,47336
"Crook County, OR",278.64520780000004,0,4,1,53,95,332,7,1,20815
"Imperial County, CA",278.62093960000004,3,20,111,358,2037,3508,718,28,176584
"Hall County, NE",278.3267457,0,43,21,105,418,2037,90,17,60720
"Butts County, GA",278.2415136,0,10,12,43,118,392,49,0,23361
"Brown County, WI",278.09856,8,68,98,534,989,3685,158,15,254586
"Grand County, UT",277.77777779999997,0,5,0,21,52,228,22,1,9360
"Houston County, TN",277.3757839,0,0,1,22,35,65,15,1,8292
"Catron County, NM",277.2387025,0,1,1,9,35,32,6,0,3607
"Mayes County, OK",276.933634,2,7,2,101,221,373,60,5,40804
"Pocahontas County, WV",276.8485408,0,2,1,21,26,43,2,1,8669
"Luce County, MI",276.837896,0,2,1,15,24,45,2,0,6502
"Benewah County, ID",276.42636,0,0,1,24,37,35,5,2,9044
"Mason County, MI",276.1754938,2,33,1,43,147,744,29,7,28605
"Hardee County, FL",276.172826,1,9,12,54,229,471,36,0,27519
"Jackson County, OK",275.9889604,1,10,11,50,237,490,27,3,26088
"Bethel Census Area, AK",275.93197430000004,1,14,2,32,39,58,38,4,17758
"Burleigh County, ND",275.8402388,1,38,17,188,387,1650,120,12,88457
"Franklin County, KS",275.8352758,0,14,5,52,153,388,25,10,25740
"Douglas County, GA",275.7022709,1,22,77,276,815,3103,229,9,136379
"Bradley County, AR",275.58005160000005,1,1,9,20,141,65,10,1,11249
"Washington County, OK",275.3165171,2,15,16,109,375,949,73,7,51577
"Montour County, PA",275.06606980000004,0,8,1,42,66,185,7,6,18541
"Weld County, CO",274.29249219999997,6,61,89,583,971,4127,286,52,269785
"Rockingham County, NC",274.2767583,7,14,51,180,1041,1967,132,18,91878
"Yell County, AR",274.0602019,1,5,6,48,198,239,25,4,21893
"Tom Green County, TX",274.0226525,5,57,36,217,852,2841,146,11,114954
"Coles County, IL",273.7583105,2,26,14,105,140,517,14,18,53697
"Meriwether County, GA",273.1725697,0,1,4,53,181,424,42,2,21232
"Decatur County, KS",273.03754269999996,0,1,0,6,22,25,1,0,2930
"Garfield County, OK",273.0178104,2,30,21,117,517,1456,102,13,62267
"Twin Falls County, ID",272.6465475,4,24,19,171,334,1177,77,12,79957
"Choctaw County, OK",272.515786,0,5,4,32,91,134,19,9,15045
"Josephine County, OR",272.4893765,1,15,57,154,713,1978,208,17,83306
"Person County, NC",272.43100110000006,0,14,14,79,378,589,33,5,39276
"Clallam County, WA",272.43057860000005,5,35,24,133,654,1540,112,7,72312
"Malheur County, OR",272.3186456,0,12,5,66,195,816,30,0,30479
"Goshen County, WY",271.8189833,0,0,1,36,66,146,2,0,13612
"Yolo County, CA",271.7590533,0,71,162,323,1312,4122,522,106,204593
"Taylor County, GA",271.73913039999996,0,0,1,22,53,60,4,1,8464
"Cherokee County, KS",271.71322339999995,2,5,2,48,242,374,37,14,20978
"Warren County, PA",271.49321269999996,1,16,6,88,149,567,29,3,40885
"Highlands County, FL",271.47188989999995,3,24,65,173,840,1527,105,10,97616
"Telfair County, GA",271.2313905,0,2,2,41,69,155,9,0,16591
"Monongalia County, WV",270.84107400000005,3,22,43,209,400,1580,74,10,102274
"Hill County, TX",269.9365362,1,10,12,71,265,581,20,5,34823
"Fayette County, WV",269.74275750000004,5,6,26,86,352,826,58,4,45599
"Flathead County, MT",269.69527660000006,1,35,13,202,429,1946,108,9,93068
"Marshall County, OK",268.95171380000005,2,4,0,37,35,81,15,1,15988
"Kitsap County, WA",268.93151889999996,5,109,111,458,2073,5454,614,42,253968
"St. Francois County, MO",268.8212641,1,13,8,155,306,1510,118,4,66215
"Preston County, WV",268.7616291,1,8,4,78,97,188,28,4,33859
"Woodward County, OK",268.6018567,0,8,1,49,154,353,52,1,21221
"McKenzie County, ND",268.4131415,1,2,1,21,16,137,15,1,9314
"Randolph County, AL",268.4032208,0,4,3,54,228,408,44,6,22727
"Comal County, TX",268.3997299,3,41,29,245,558,2104,131,9,118480
"Conway County, AR",268.2984232,0,8,0,49,112,446,35,10,21245
"Otero County, NM",268.2272616,0,11,10,155,319,823,62,8,65616
"White County, IL",268.0596605,2,6,2,29,70,252,21,0,14549
"Galveston County, TX",267.9427085,7,105,271,439,2049,6549,466,39,306782
"Mason County, WA",267.78187349999996,6,27,22,107,914,1407,256,12,60497
"Caswell County, NC",267.35661919999995,2,8,4,48,214,288,17,7,23190
"Benton County, AR",267.1757334,3,112,29,490,1214,3461,176,22,237297
"Essex County, VA",267.1653754,0,4,2,24,63,168,7,0,11229
"Howard County, IN",267.037216,4,19,63,135,682,1574,107,1,82760
"Salem County, NJ",267.0104042,1,13,47,113,488,987,50,13,65166
"Osage County, OK",266.7389085,1,18,20,90,358,593,89,17,47987
"Ottawa County, OK",266.7080167,0,4,5,77,207,583,38,5,32245
"Cape May County, NJ",265.9102996,2,12,53,187,1054,3278,84,3,95897
"Clear Creek County, CO",265.7513011,0,1,1,22,30,108,11,8,9031
"Marshall County, MS",265.6442558,1,2,23,71,109,220,14,0,36515
"Phelps County, MO",265.58350260000003,1,13,11,94,223,1129,52,7,44807
"Dare County, NC",265.5701191,2,15,16,60,605,1168,45,10,35019
"Wayne County, WV",265.4632333,2,10,14,84,300,629,61,10,41437
"Santa Clara County, CA",265.4076897,55,402,1639,2846,8940,28055,10997,312,1862041
"Warrick County, IN",265.360612,0,12,6,144,126,771,39,7,61049
"Monroe County, MI",265.3348939,5,67,93,234,1044,2599,231,35,150376
"Wright County, MO",265.2519894,1,2,1,45,102,275,15,4,18473
"Cobb County, GA",264.2256585,15,119,646,1115,4322,11263,1136,44,717190
"Whitfield County, GA",264.2187576,3,19,38,212,780,2121,121,14,102945
"Carbon County, PA",263.9459142,3,13,17,138,352,953,36,8,64786
"Haywood County, NC",263.5892064,1,14,19,122,616,996,95,4,59183
"St. Clair County, MO",263.518499,0,0,1,24,83,142,11,0,9487
"Chambers County, TX",263.5010323,0,10,18,69,267,622,94,4,36812
"Worth County, GA",263.0219342,2,1,7,46,225,364,24,1,21291
"Lauderdale County, AL",262.9395347,3,28,55,157,612,1600,100,6,92797
"Delta County, MI",262.837014,0,23,7,67,145,900,32,3,36905
"Linn County, KS",262.7154267,0,4,0,21,58,81,17,5,9516
"Martin County, FL",262.4567806,4,36,88,269,721,2369,133,11,151263
"Warren County, NC",262.454435,2,6,6,40,211,283,51,5,20575
"Barbour County, WV",262.37328560000003,0,0,0,44,70,66,10,0,16770
"Hartley County, TX",262.295082,0,2,0,14,32,59,5,1,6100
"Delaware County, IN",262.16335840000005,1,11,104,192,914,2631,232,41,117484
"Sequoyah County, OK",262.0214469,0,11,2,95,239,587,43,12,41218
"Lumpkin County, GA",261.9833107,0,11,2,68,117,311,28,2,30918
"Callaway County, MO",261.502739,1,4,12,99,318,941,50,3,44359
"Starr County, TX",261.446347,2,9,10,141,349,592,72,5,61963
"Butte County, SD",261.374637,0,12,0,15,44,123,2,1,10330
"Madison County, IN",261.3387287,3,60,88,190,965,2842,262,41,130482
"Le Flore County, OK",261.18053599999996,1,14,5,110,356,587,68,8,49774
"Harrison County, WV",260.97546830000005,1,12,14,153,296,1136,70,10,68972
"Page County, IA",260.9304398,0,3,2,36,99,242,21,2,15713
"Bennett County, SD",260.7184241,0,1,0,8,2,15,4,1,3452
"Sandoval County, NM",260.6626396,4,28,30,293,595,1648,201,17,136575
"Wexford County, MI",260.3767805,0,29,7,49,139,590,12,3,32645
"Shoshone County, ID",260.0472813,2,3,0,29,74,152,20,2,12690
"Wayne County, TN",259.7555936,1,2,0,41,46,93,8,3,16939
"Garvin County, OK",259.7497622,0,8,10,53,221,410,43,17,27334
"Polk County, MN",259.7484874,1,32,3,46,129,429,26,12,31569
"Lehigh County, PA",259.65102,21,92,478,331,1925,7098,597,41,355092
"Monroe County, IN",259.35949480000005,4,49,54,262,941,3648,251,28,141888
"Chase County, KS",259.25925930000005,0,0,0,7,40,8,1,1,2700
"St. Clair County, MI",259.2401025,3,51,56,306,791,2382,137,30,160469
"Cherry County, NE",259.1568763,0,2,0,13,6,29,7,0,5788
"Christian County, KY",258.875241,6,32,67,87,670,1408,104,14,74167
"Cameron County, TX",258.8214994,13,98,237,732,3092,13186,476,73,417276
"DeKalb County, IL",258.7334473,1,47,31,192,337,1836,47,22,104741
"Washington County, MD",258.71059180000003,3,21,104,259,810,2044,214,43,149588
"Covington County, AL",258.67074909999997,1,13,7,78,282,684,38,12,37886
"Clinton County, IN",258.2330781,0,12,17,56,190,822,58,2,32916
"Silver Bow County, MT",257.79914840000004,0,3,6,80,197,978,105,4,34523
"Oneida County, NY",257.7220284,2,43,165,392,1212,4387,192,37,233585
"Union County, FL",257.6638478,1,1,7,30,64,80,9,2,15136
"Macon County, MO",257.3340196,0,1,0,39,111,233,12,1,15544
