County,Crime Rate per 100k,Murder,Rape,Robbery,Assault,Burglary,Larceny,MV Theft,Arson,Population,Avg_Rating,Median_Rating,Avg_Price,Rest_Count,Avg_Lat,Avg_Lng
"Manassas city, VA",330.8955761,3,8,51,76,111,745,48,7,41705,4.28,4.5,1.5833333333333333,50,38.76157419615669,-77.48699910697414
"Albany County, NY",330.6781345,5,69,318,623,1497,7210,265,19,306945,3.86,4.0,1.8936170212765957,50,42.667197798866994,-73.88040738832447
"Matagorda County, TX",330.6733712,1,11,19,90,290,770,23,5,36592,4.22,4.25,1.7209302325581395,50,28.952517591276084,-95.86568062768234
"Indiana County, PA",330.5031626,5,29,16,240,310,990,53,10,87745,3.79,4.0,1.5208333333333333,50,40.61755019510042,-79.15612407678928
"Montgomery County, IL",330.4781817,0,5,3,90,102,388,16,4,29654,3.8,4.5,2,5,39.16381133894766,-89.49006805085224
"Minnehaha County, SD",329.5479849,2,139,60,391,863,3595,271,54,179640,3.517857142857143,3.5,1.3888888888888888,28,43.603177691966614,-96.73469021475002
"Webster Parish, LA",329.4163922,1,11,13,109,153,351,32,1,40678,3.3214285714285716,4.0,1.3888888888888888,28,32.619542880181555,-93.30216121342545
"Marion County, AR",328.6670724,0,6,1,47,117,190,6,1,16430,3.710526315789474,4.0,1.4615384615384615,19,36.28928554466497,-92.60918099134997
"Lamar County, GA",328.5260872,3,8,7,41,79,384,34,4,17959,3.6785714285714284,4.0,1.5294117647058822,28,33.08175963245281,-84.14976513262974
"Gordon County, GA",328.2099108999999,4,10,11,158,345,1110,63,1,55757,3.79,4.0,1.225,50,34.489329555768535,-84.93026185593061
"Blaine County, ID",328.1916639,1,4,0,65,61,114,24,2,21329,4.29,4.5,1.8444444444444446,50,43.57289362400371,-114.30590648707128
"San Luis Obispo County, CA",327.7348314,6,69,78,753,1568,4266,418,87,276443,4.25,4.0,1,6,35.2307626212597,-120.49675997704466
"Nacogdoches County, TX",327.5677330000001,1,24,30,159,430,1358,67,5,65330,3.88,4.0,1.5238095238095237,50,31.610493657990926,-94.65310052195302
"Talladega County, AL",326.7732071000001,3,25,39,198,1028,2262,185,8,81096,3.558139534883721,3.5,1.24,43,33.435365498266314,-86.09854419212128
"Duplin County, NC",326.2099727,9,15,24,148,633,806,64,12,60084,3.642857142857143,3.75,1.2222222222222223,14,34.949332904318666,-77.97258516898633
"Webster County, WV",326.0991791,3,0,1,25,26,29,4,0,8893,3.9,3.5,1,5,38.46531609447554,-80.43980752762214
"Yadkin County, NC",325.9897997,2,6,6,110,376,552,35,6,38038,3.212121212121212,3.0,1.1578947368421053,33,36.139547531303606,-80.66327337392349
"Washington County, AL",325.8873022,2,3,3,46,68,146,23,6,16877,4.071428571428571,4.0,1.6666666666666667,7,31.350223420734313,-88.19492158360032
"West Baton Rouge Parish, LA",325.56057460000005,4,2,7,67,72,565,34,1,24573,3.26,3.5,1.303030303030303,50,30.44524526412689,-91.24771162604848
"Lincoln Parish, LA",324.7985827,3,12,29,110,378,889,23,0,47414,3.76,3.5,1.4285714285714286,50,32.53968117482825,-92.63564110778094
"Union County, TN",324.5733431000001,2,7,9,44,237,403,47,13,19102,2.9642857142857144,3.5,1.2,14,36.25806104676715,-83.82339315712912
"Tama County, IA",324.3058716,0,2,0,55,45,63,9,17,17576,3.3333333333333335,3.5,1.2,9,42.0076607672137,-92.59526716003434
"Citrus County, FL",323.82908139999995,5,26,57,363,737,1971,129,16,139271,3.9,4.0,1.488888888888889,50,28.861992524842446,-82.4719238518728
"Lake County, FL",323.6655694,8,65,130,794,2003,4934,375,25,308034,4.07,4.0,1.6808510638297873,50,28.807338156834852,-81.66263248160308
"Wood County, WV",323.4414167,1,28,35,216,619,1876,109,29,86569,4.03,4.0,1.558139534883721,50,39.26455696455045,-81.54333505570695
"Lake County, TN",323.3734316,0,0,2,23,28,56,4,4,7731,3.909090909090909,4.0,1.6,11,36.369664903767166,-89.45297311692546
"Wilson County, TN",323.0964779,4,17,44,329,569,1855,160,5,121945,4.0,4.0,1.5,50,36.19529289096483,-86.3124285651728
"Valley County, ID",322.7149698,0,9,0,22,47,151,6,1,9606,4.13,4.0,1.673913043478261,50,44.70424455659012,-115.87243817680236
"Craighead County, AR",322.205581,4,29,82,212,1387,2285,110,18,101488,4.04,4.0,1.6304347826086956,50,35.8268704775059,-90.68247703390877
"Pierce County, GA",322.1037068,0,4,16,41,143,218,13,0,18938,3.4210526315789473,3.5,1.1111111111111112,19,31.3016177393359,-82.22862803826645
"Stillwater County, MT",321.95750160000006,0,4,1,25,54,62,6,1,9318,4.2,4.25,1.75,50,45.47056839529885,-109.2305417594027
"Salt Lake County, UT",321.9350184,27,487,773,2188,6584,35187,4226,128,1079721,4.37,4.5,1.64,50,40.693260950495855,-111.88855971127582
"Sabine Parish, LA",321.8485661,0,3,6,69,73,472,4,0,24235,3.0,2.5,1.3076923076923077,21,31.544644317445886,-93.54094004710491
"Howell County, MO",321.8379422,1,6,4,119,312,1074,65,4,40393,3.4545454545454546,3.5,1.4333333333333333,44,36.726207664127614,-91.86767345863093
"Shelby County, TX",321.8052109,5,10,18,50,169,373,34,3,25792,3.5526315789473686,4.0,1.5833333333333333,19,32.02590913170545,-94.62314363589788
"Logan County, KS",321.6583274,0,0,0,9,8,15,1,0,2798,3.9444444444444446,4.0,1.5555555555555556,18,39.05760190882672,-100.90145935393127
"Putnam County, WV",321.270962,1,8,9,164,157,655,31,1,56650,3.84,4.0,1.6382978723404256,50,38.43090956221183,-81.87746052079635
"McDowell County, WV",320.9427093000001,0,6,5,56,91,171,105,3,20876,4.1,4.0,1.4285714285714286,50,37.29872104041869,-81.50837050132962
"Ripley County, MO",320.695553,0,1,1,43,95,361,17,2,14032,3.923076923076923,4.0,1,13,36.62229005105849,-90.82862961556489
"Dodge County, GA",320.4373027,0,5,4,59,211,714,20,0,21221,3.423076923076923,3.5,1.1111111111111112,13,32.196326930488524,-83.1766967819508
"Swain County, NC",320.1024328000001,1,4,1,39,120,195,10,0,14058,3.8375,4.0,1.3846153846153846,40,35.44542897752308,-83.44436909557506
"McLean County, IL",320.0742068,1,73,84,401,770,2793,89,25,174647,4.05,4.0,1.58,50,40.49617991732962,-88.96359591381263
"Waynesboro city, VA",319.804355,0,11,9,48,88,623,39,1,21263,3.97,4.0,1.5869565217391304,50,38.069234879002906,-78.91801810309869
"Yavapai County, AZ",319.8021689,12,44,47,584,943,3186,221,42,215133,3.96,4.0,1.5128205128205128,50,34.692278181623486,-112.42321183144428
"San Augustine County, TX",319.3066484,0,1,3,24,36,79,13,1,8769,3.8333333333333335,4.0,1.391304347826087,45,31.303493346555967,-94.12833214962889
"Beaver County, PA",319.1958381,6,36,84,417,632,3048,129,14,170115,4.2,4.5,1.6458333333333333,50,40.683493245667776,-80.29763833097662
"Pasco County, FL",319.0312554,12,107,304,1094,3597,8943,657,91,475502,3.51,3.5,1.605263157894737,50,28.266320684952728,-82.42487655651665
"Licking County, OH",318.9309577,0,87,66,384,1087,3618,151,55,168375,4.07,4.0,1.56,50,40.06295354814893,-82.4607442017944
"Lowndes County, GA",318.8210705,5,44,97,214,901,2342,111,13,112916,4.14,4.0,1.6956521739130435,50,30.8488729761059,-83.29682489970718
"Lee County, TX",318.7394756,0,5,3,45,91,226,12,0,16628,4.23,4.0,1.5714285714285714,50,30.187777607178425,-97.12203802209163
"Suffolk city, VA",318.4490482,2,30,52,189,357,1823,95,20,85728,4.0,4.0,1.7333333333333334,50,36.82409389628872,-76.49522308563438
"Doniphan County, KS",318.4307732,0,2,0,23,46,56,13,2,7851,4.15,4.0,1.7045454545454546,50,39.74718215994607,-94.8578311094195
"Ford County, IL",318.1029497,0,11,1,32,64,122,3,0,13832,4.04,4.5,1.5405405405405406,50,40.648222607566765,-88.17639508397228
"Geneva County, AL",318.0304561000001,0,7,5,73,162,394,34,9,26727,3.5384615384615383,4.0,1.1666666666666667,13,31.041806363054746,-85.88158227455918
"Edgar County, IL",317.3719376,0,4,3,50,88,154,12,2,17960,3.4130434782608696,3.5,1.4705882352941178,23,39.6089461037645,-87.70146986445685
"Franklin County, MA",317.3221381,1,19,26,180,484,734,28,7,71221,4.12,4.0,1.851063829787234,50,42.56616728195604,-72.61433135938437
"Mesa County, CO",317.1720184,5,108,44,311,573,3456,262,35,147554,4.27,4.5,1.7446808510638299,50,39.04280619228656,-108.47793413532136
"Jackson County, OR",316.9579707,4,76,82,499,1029,6491,317,71,208545,3.62,3.5,1.4722222222222223,50,42.44035067202835,-122.83541942794628
"Sarasota County, FL",316.8309731,17,71,288,861,2741,7901,378,26,390429,4.24,4.5,1.7659574468085106,50,27.106117957511994,-82.43184714308089
"Hidalgo County, TX",316.7907686000001,30,202,474,1879,6465,22631,1421,171,815996,3.765625,4.0,1.1333333333333333,32,26.328239991803237,-98.17071227995038
"Lee County, GA",316.4665818,1,1,5,85,150,453,27,2,29071,3.642857142857143,4.0,1,7,31.724889444478457,-84.17196504075312
"Crawford County, AR",316.3530175,1,24,8,162,456,1060,70,1,61640,3.725806451612903,4.0,1.1818181818181819,31,35.4936842047185,-94.21797383339985
"Jackson County, MI",316.1458885,7,67,71,362,723,2280,159,44,160369,3.88,4.0,1.469387755102041,50,42.25154587351635,-84.42076121170784
"Franklin County, AR",316.0696462,2,7,2,46,99,287,24,3,18034,3.5526315789473686,4.0,1.2307692307692308,19,35.49287981050061,-93.83332401281945
"Troup County, GA",315.69953510000005,5,15,76,122,706,1935,119,7,69053,3.95,4.0,1.4047619047619047,50,33.038821291133694,-85.02513994154175
"Pawnee County, KS",315.5931717,0,5,0,17,48,94,6,1,6971,3.725,4.0,1.1818181818181819,20,38.12114454662926,-99.20148984024914
"Marshall County, SD",314.9275667,0,6,0,9,11,24,5,0,4763,4.285714285714286,5.0,1,7,45.650666305944156,-97.45598283229963
"Danville city, VA",314.6339758,3,14,54,64,424,1483,45,15,42907,3.88,4.0,1.4782608695652173,50,36.59536245751835,-79.40860621069051
"Chariton County, MO",314.63030939999993,0,1,0,23,28,50,3,3,7628,4.162162162162162,4.5,1.380952380952381,37,39.47197398030086,-92.93860275260164
"Faulkner County, AR",314.4338518,4,62,80,230,1064,2823,228,15,119580,4.07,4.0,1.5833333333333333,50,35.090989824970784,-92.43440539090426
"Little River County, AR",314.2183818,0,8,1,31,61,165,5,3,12730,3.090909090909091,3.5,1.25,11,33.66573902886835,-94.12270235325182
"Ozark County, MO",313.8075314,1,2,2,25,82,55,2,1,9560,3.2,3.0,1,5,36.59637523877762,-92.4003244874002
"Harmon County, OK",313.6981527,1,0,2,6,34,56,3,0,2869,3.6206896551724137,3.5,1.15,29,34.65575104101518,-99.95846895514316
"Cherokee County, SC",313.14306160000007,3,14,20,138,338,584,97,3,55885,3.74,4.0,1.2,50,35.081984501786124,-81.66622784895395
"Rowan County, NC",313.0354316000001,3,26,129,276,1306,2784,208,20,138323,3.99,4.0,1.4791666666666667,50,35.70127704967533,-81.30702257037613
"Polk County, IA",312.8341713,8,147,280,978,3410,10775,988,79,451677,4.26,4.5,1.76,50,41.62001804878859,-93.62090293037444
"Mono County, CA",312.6332244,0,4,9,31,86,170,2,1,14074,4.17,4.0,1.9545454545454546,50,37.72542353300484,-119.0263763923342
"Chowan County, NC",312.3726742,0,0,15,31,138,226,16,4,14726,3.642857142857143,4.0,1.4545454545454546,14,37.28771329592652,-71.0370252944244
"Lonoke County, AR",312.3542465,0,28,18,174,864,1145,121,15,70753,3.076923076923077,3.0,1.0833333333333333,13,34.79701759248093,-91.89411477180188
"Quay County, NM",311.7063034,0,2,4,21,125,144,10,0,8662,3.642857142857143,3.0,1.5,7,35.16064157567133,-103.6914982658517
"St. Joseph County, MI",311.6593399,0,61,7,122,256,853,52,7,60964,3.56,3.5,1.3846153846153846,50,41.935580007842056,-85.59337683537728
"Catawba County, NC",311.349396,13,34,119,316,1555,4057,292,36,154810,4.2,4.0,1.5714285714285714,50,35.709548821481405,-81.28279047237142
"Adair County, OK",310.8948364,1,7,1,60,156,157,20,7,22194,3.392857142857143,3.25,1,14,35.81399682688098,-94.62917674285585
"Grant County, AR",310.7830623000001,1,3,3,49,137,219,22,4,18019,3.588235294117647,3.5,1,17,34.30489453878058,-92.40786521418552
"Henry County, TN",310.4625893,1,8,12,79,293,684,31,0,32210,3.1956521739130435,3.5,1.2727272727272727,46,36.2993426494257,-88.30514021783527
"Garfield County, WA",310.2836879,0,1,0,6,16,35,2,1,2256,4.23,4.25,1.7,50,46.49485668802242,-117.30397077488378
"Marion County, TN",310.1430887,0,1,4,83,116,380,46,1,28374,3.52,4.0,1.2857142857142858,25,34.81098877280009,-85.45682012249185
"Craven County, NC",310.0804869,3,24,61,236,1888,2116,145,9,104489,3.99,4.0,1.608695652173913,50,35.10492098705552,-77.06336098512602
"Gunnison County, CO",309.5376282,0,5,2,41,35,260,13,0,15507,4.23,4.0,1.9791666666666667,50,38.84284715974697,-106.89551768171641
"Vanderburgh County, IN",309.2647107,8,56,199,298,1132,4544,422,76,181398,4.2,4.0,1.8085106382978724,50,37.979205506218705,-87.54499737710667
"Howard County, AR",309.2555776,0,6,2,35,120,297,4,0,13581,3.75,4.0,1.25,50,34.030325110677616,-93.59618624611272
"Hardy County, WV",308.908046,0,3,0,40,32,54,9,2,13920,4.23,4.5,1.525,50,38.934655071432275,-78.69806513241339
"Kankakee County, IL",308.5979308000001,8,49,82,207,658,2195,94,46,112120,4.0,4.0,1.5625,50,41.1482492090142,-87.86820671882766
"Indian River County, FL",308.4637379,1,17,64,356,851,2830,102,1,141994,3.4285714285714284,3.5,1.3548387096774193,35,27.716845209242088,-80.52782302957947
"Somerset County, MD",308.3012979,3,9,9,60,147,338,9,4,26273,3.4375,3.75,1.6666666666666667,8,38.11871144677906,-75.75035099756526
"Bates County, MO",308.1570997,0,0,1,50,115,336,40,3,16550,3.5625,3.25,1.25,16,38.272460890280826,-94.3405087935225
"Butte County, CA",307.98325,11,75,167,431,1919,3147,593,62,222090,3.525,3.75,1.4137931034482758,40,39.74922163212972,-121.605226143907
"Mahnomen County, MN",307.3029646,0,3,0,14,36,74,4,0,5532,3.2,3.0,1.5,15,47.45887582321685,-95.77803532316705
"Stephens County, OK",307.21966210000005,3,19,19,97,441,1018,70,4,44919,3.32,3.5,1.3235294117647058,50,34.515200868317734,-97.96365212075737
"Wayne County, IL",307.0069829,0,3,1,47,87,198,4,2,16612,3.8684210526315788,4.0,1.2142857142857142,19,37.86801399188238,-88.38130447963155
"Stewart County, TN",306.8402934,1,1,3,36,61,94,13,4,13362,3.84375,4.0,1.0909090909090908,16,36.51106254979262,-87.83550870463853
"Jefferson County, GA",306.37254900000005,0,1,17,32,121,210,13,0,16320,3.3636363636363638,4.0,1,11,33.04669450760951,-82.36306951713094
"Kearny County, KS",305.8883508,0,2,0,10,17,44,2,0,3923,4.2,4.5,1,5,37.94267054456538,-101.2583182200624
"Panola County, TX",305.823209,0,7,8,58,208,437,44,4,23870,3.557142857142857,4.0,1.3333333333333333,35,32.16888126120523,-94.32625697079487
"Pecos County, TX",305.7909155,1,4,2,41,74,255,2,1,15697,3.52,3.5,1.5121951219512195,50,30.764981027801007,-102.89848170637921
"Hartford County, CT",305.5867265,34,129,1153,1429,4293,16180,2020,140,898272,4.2,4.0,1.9574468085106382,50,41.76298784075315,-72.71851842735282
"Woodbury County, IA",305.4929991,3,36,46,227,709,2830,222,20,102130,4.14,4.0,1.6382978723404256,50,42.49509181755278,-95.90386805040504
"Cowlitz County, WA",305.3210289,4,79,66,162,872,2742,237,51,101860,4.39,4.5,1.7142857142857142,50,45.73513841723884,-122.70265772223324
"Lafayette County, FL",305.1537071,1,1,1,24,28,38,1,1,8848,4.333333333333333,4.5,1,6,30.064404936676084,-83.18434392112367
"Riverside County, CA",304.86275510000013,76,322,2349,4242,19105,39880,9191,241,2292507,4.088235294117647,4.5,1.3636363636363635,17,33.67923307022805,-116.47562536091735
"Sheridan County, NE",304.7038659,0,2,1,13,17,68,4,4,5251,3.78,4.0,1.2903225806451613,50,42.58846731733956,-102.7722524335846
"Clearfield County, PA",304.2846232,0,37,12,198,325,1454,43,19,81174,3.54,3.75,1.3636363636363635,50,41.016159198802555,-78.4397198465191
"Jackson County, TN",303.8985847,0,0,2,33,83,131,17,3,11517,3.642857142857143,4.5,1,7,36.34739609459515,-85.65345999515044
"Washington County, MS",303.896313,11,24,54,62,1242,1693,142,85,49688,3.7083333333333335,4.0,1.75,12,33.33713814286818,-91.01072242809245
"Adams County, IL",303.8879785000001,0,28,16,160,287,1251,30,9,67130,3.1785714285714284,3.5,1.4,14,39.941861121690394,-91.31303840608908
"Iron County, UT",303.548525,1,23,5,113,218,832,53,4,46780,4.21,4.0,1.5555555555555556,50,37.57630706695837,-113.04303160209638
"Stark County, OH",303.3838352,13,126,583,417,3773,7549,719,98,375432,4.16,4.0,1.75,50,40.829055942745484,-81.40161647694197
"St. Louis County, MO",303.3619454,38,154,732,2114,5444,19368,1961,123,1001444,4.4,4.5,1.9130434782608696,50,38.62670354411193,-90.24471885381917
"Cass County, TX",303.3200356000001,2,11,8,71,298,376,41,1,30331,3.888888888888889,4.5,1,9,32.984983640953914,-94.27965883848215
"Broome County, NY",303.2389361,7,59,135,398,1252,4891,126,27,197534,3.83,4.0,1.4210526315789473,50,42.153084891241825,-75.86181495773155
"Jefferson County, TN",303.1291368,3,12,26,117,399,957,68,5,52123,3.84,4.0,1.2439024390243902,50,36.05616628601666,-83.47127357521877
"Hertford County, NC",302.8938644,4,5,15,50,225,350,35,6,24431,3.83,4.0,1.3783783783783783,50,36.47724867047663,-76.95605661848383
"Tyler County, TX",302.83265,1,9,1,54,130,134,19,3,21464,3.5588235294117645,4.0,1.2142857142857142,17,30.76893704290844,-94.41751923919914
"Tippecanoe County, IN",302.4853752,1,63,87,394,1032,3725,275,16,180174,4.16,4.0,1.6,50,40.418850481297554,-86.88651927764504
"Bay County, MI",302.343867,1,69,41,212,453,1573,89,15,106832,3.8125,4.0,1.2352941176470589,24,43.69608725044784,-83.94710264592149
"Kauai County, HI",302.1061112,0,29,22,159,689,1753,151,10,69512,4.058139534883721,4.0,1.4230769230769231,43,21.97153778332369,-159.6713315482748
"Richland Parish, LA",302.05686339999994,0,2,3,58,75,369,14,1,20857,3.4642857142857144,3.5,1.1428571428571428,14,32.45185725590038,-91.76064475230297
"Knox County, IL",301.4708706,2,20,14,121,340,1032,22,4,52078,3.4722222222222223,3.5,1.3846153846153846,18,40.93514780130753,-90.30752544265088
"Jack County, TX",301.4402144,0,6,0,21,39,99,14,1,8957,3.763157894736842,4.0,1.3333333333333333,19,33.21876549394999,-98.15988239276622
"Carroll County, GA",300.8321837,3,35,71,229,903,2402,162,8,112355,3.87,4.0,1.5319148936170213,50,33.58454973925719,-85.0722950437386
"Midland County, TX",300.3934825,5,22,54,374,700,2728,216,9,151468,3.9375,4.0,2,8,31.946840365020137,-102.106748478271
"Greene County, GA",300.2267018,1,0,4,44,100,340,11,0,16321,3.5285714285714285,4.0,1.28,35,33.51836755347511,-83.20868267486672
"Carbon County, UT",300.17152660000005,9,11,1,42,211,619,35,4,20988,3.8,4.0,1.3243243243243243,50,39.61981012572739,-110.81946175060843
"Walton County, GA",299.6944749,21,27,42,167,817,1719,163,4,85754,3.36,3.5,1.3888888888888888,50,33.7920616674123,-83.73769487848044
"Polk County, TN",299.5805872,4,1,2,43,115,210,41,0,16690,3.642857142857143,4.0,1,7,35.14633760306253,-84.55490128901339
"Madison County, AR",299.3439908000001,0,9,0,38,48,77,7,3,15701,3.6923076923076925,4.0,1.25,13,36.08954161550405,-93.73394665702594
"Sullivan County, PA",299.1654858,0,1,0,18,44,50,4,0,6351,4.305555555555555,4.5,1.375,18,41.45475235695924,-76.52900884753767
"Banks County, GA",298.6695629,0,2,1,52,109,428,29,0,18415,3.051282051282051,3.0,1.4411764705882353,39,34.254500386389694,-83.46842519336731
"Maverick County, TX",298.5768433,3,4,4,156,512,993,42,1,55932,3.81,4.0,1.4166666666666667,50,28.693675251352957,-100.47681259960794
"Clark County, OH",298.1632848000001,5,45,182,174,1753,3708,213,93,136167,4.22,4.25,1.525,50,39.91213275612549,-83.82082898379623
"Arapahoe County, CO",297.9886998,22,265,552,970,2879,11787,1348,110,607070,3.576923076923077,4.0,1.1666666666666667,13,39.74076588980336,-104.37587951157107
"Scott County, KS",297.9145978,0,3,0,12,16,60,5,0,5035,3.5,4.0,1,13,38.47601260645139,-100.9061119968157
"Mitchell County, KS",297.8990279,0,3,0,16,15,45,3,1,6378,3.3125,3.25,1.1666666666666667,8,39.45857038084415,-98.11591825470605
"Jackson County, MS",296.9028124,5,74,103,235,1406,3153,323,19,140450,4.15,4.0,1.5757575757575757,50,30.41188571071131,-88.60895700326509
"Lyon County, NV",296.758927,1,19,12,121,322,729,73,10,51557,3.775,4.0,1.3333333333333333,20,38.989887818944034,-119.1670851732401
"Buena Vista County, IA",296.5916274,0,3,0,58,90,217,13,5,20567,3.515151515151515,3.5,1.2083333333333333,33,42.6474346079677,-95.19951427124712
"Wakulla County, FL",296.563729,0,13,4,75,149,513,22,7,31022,3.5,3.5,1.4615384615384615,40,30.161113513755957,-84.37418343663275
"Ochiltree County, TX",296.1317786,0,0,0,32,35,110,12,4,10806,2.4,3.0,1,5,36.373021200000004,-100.8008954
"Wayne County, IN",296.0540851,7,51,55,88,613,1259,143,41,67893,3.81,4.0,1.3055555555555556,50,39.843560283223496,-84.92223639983825
"Cass County, ND",296.0160659,1,82,54,345,620,2813,200,23,162829,4.28,4.5,1.7959183673469388,50,46.86712112925622,-96.83771958765503
"Mineral County, WV",295.9861392,0,7,6,69,131,287,17,1,27704,3.5,3.75,1.1875,24,39.44328408536173,-78.99117827826265
"Boone County, IA",295.8579882,1,12,2,63,122,234,6,3,26364,3.6451612903225805,4.0,1.3,31,42.03081544887199,-93.88356100698344
"Kootenai County, ID",295.2899179,1,58,23,343,1173,3096,274,37,144265,4.3,4.5,1.75,50,47.684462102381836,-116.77828998185738
"Hernando County, FL",295.2287593000001,2,46,71,396,1249,3213,166,7,174441,3.91,4.0,1.2954545454545454,50,28.54844184408745,-82.39722726626124
"Marion County, IL",295.1685568,0,12,15,87,292,944,52,8,38622,3.6666666666666665,4.0,1.28,33,38.62583716847123,-88.94432058450793
"Macon County, TN",295.1411832,0,2,0,65,56,149,26,1,22701,3.1666666666666665,3.0,1.1,15,36.52962675576071,-86.0331721972548
"Sumner County, TN",294.869973,2,31,41,423,674,2327,108,31,168888,3.93,4.0,1.5116279069767442,50,36.382387836638365,-86.46449901229543
"Lawrence County, AL",294.7569,0,4,6,89,206,362,49,5,33587,3.8214285714285716,4.0,1.4736842105263157,28,34.49391286858315,-87.29040871621649
"Overton County, TN",294.4507361000001,1,3,2,59,119,167,13,5,22075,3.4642857142857144,3.5,1.2941176470588236,28,36.37049634929159,-85.33217211115111
"Washtenaw County, MI",294.4331527,6,159,188,690,2339,5739,441,85,354240,4.17,4.0,1.94,50,42.2764083880124,-83.7604305900123
"Mille Lacs County, MN",294.1973445,0,17,11,48,195,592,53,3,25833,4.14,4.0,1.5869565217391304,50,45.75678544747046,-93.84685936028289
"Lake County, OR",294.11764710000006,0,4,0,19,7,14,3,0,7820,4.14,4.5,1.5555555555555556,25,43.02652552443957,-120.72167754596292
"Colorado County, TX",293.9475713,4,13,2,42,120,255,22,0,20752,3.227272727272727,3.5,1.1578947368421053,22,29.69535819588354,-96.54086146656147
"Grant County, WA",293.8679553,5,47,48,170,907,2423,287,24,91878,3.6785714285714284,3.5,1.3448275862068966,42,47.33336831580344,-119.55812913798431
"Carteret County, NC",293.71365110000005,4,30,20,147,618,1354,78,7,68434,3.6,3.75,1.1666666666666667,10,34.74052146440846,-76.61311072454596
"Dooly County, GA",293.6241611,0,1,5,36,38,125,5,0,14304,2.2777777777777777,2.0,1,9,32.14224779221619,-83.764434029443
"Scott County, MS",293.5663,1,4,17,62,153,174,27,7,28273,3.0576923076923075,3.0,1.4285714285714286,26,32.3599936427672,-89.53297931903084
"Surry County, NC",292.95003419999995,7,15,28,164,679,1466,121,19,73050,3.94,4.0,1.564102564102564,50,36.4612833523724,-80.6569702262728
"Davison County, SD",292.5894163000001,0,19,3,36,62,364,24,3,19823,3.61,3.5,1.4102564102564104,50,43.70582276913657,-98.02258465974413
"Lewis and Clark County, MT",292.3260583,3,39,15,134,205,1135,65,11,65338,3.782608695652174,4.0,1.5769230769230769,46,47.055694968898315,-112.21278585725562
"Perry County, TN",292.2861863,0,1,1,21,33,66,8,1,7869,4.266666666666667,4.5,1.1,15,35.614720777452284,-87.84299558809542
"Glades County, FL",292.2442863,0,3,1,35,72,111,11,0,13345,4.3,4.5,1,5,26.9484678,-81.2342426
"Jasper County, IL",291.9099249,0,1,0,27,27,72,7,1,9592,3.0416666666666665,3.25,1.5,12,38.99394808919976,-88.13873729845676
"Fairfield County, CT",291.83831539999994,33,485,948,1277,3214,11574,1515,65,939904,4.21,4.0,1.7755102040816326,50,41.36841580536732,-73.4275511870339
"Missoula County, MT",291.5738728,0,42,43,241,468,3028,147,18,111807,4.111111111111111,4.5,1.4,9,47.09965297893852,-114.08272656330344
"Union Parish, LA",290.905836,0,1,2,62,86,208,6,0,22344,3.611111111111111,3.75,1.3333333333333333,18,32.772162436464086,-92.39848784266708
"Mitchell County, GA",290.7355175,0,3,12,52,119,415,29,0,23045,3.033333333333333,3.0,1,15,31.231343947100033,-84.20361364174724
"Macomb County, MI",290.7218207,4,312,438,1731,3591,12722,1931,128,854769,4.2,4.0,1.653061224489796,50,42.638535590165574,-82.93364894219226
"Terry County, TX",290.3554893,0,3,7,27,80,138,7,2,12743,3.326923076923077,3.5,1.1666666666666667,26,33.182415679263336,-102.27404750392023
"Carbon County, MT",290.1353965,0,7,0,23,24,90,9,2,10340,3.6,4.0,1.5,5,45.341617603048576,-108.90112070094341
"Camp County, TX",290.018529,0,5,3,28,106,226,7,4,12413,3.6052631578947367,3.5,1.7142857142857142,19,32.995162060513124,-94.96359746460755
"Perry County, AR",289.9951667,0,4,1,25,37,127,7,0,10345,2.9,3.5,1.3333333333333333,5,35.0060802,-92.80192028
"Lake County, MI",289.8296153,0,11,0,22,140,130,3,2,11386,3.735294117647059,4.0,1.5,17,43.93380799759414,-85.82056920571308
"Deer Lodge County, MT",289.4200879,1,5,0,21,13,163,8,0,9329,4.17,4.0,1.565217391304348,50,46.06500813646247,-112.65834300714256
"Custer County, OK",289.3420022,1,12,3,69,138,331,41,1,29377,3.89,4.0,1.372093023255814,50,35.48702453503847,-98.98366767628279
"Franklin County, TN",289.3335603,4,13,5,97,222,564,39,5,41129,3.3636363636363638,3.5,1.3333333333333333,44,35.19691534394385,-86.10214719919806
"Grant County, KS",289.3081761,0,0,1,22,41,63,8,2,7950,3.4642857142857144,3.5,1.1111111111111112,14,37.57671810045439,-101.34773303615057
"Humboldt County, CA",289.2343838999999,2,39,130,218,1130,3212,508,48,134493,4.19,4.0,1.78,50,40.838023276911265,-124.12809441906886
"Jasper County, SC",289.1584363,9,14,25,29,201,547,62,8,26629,3.4574468085106385,3.5,1.2571428571428571,47,32.36162739456774,-80.97156572944685
"Polk County, AR",289.1306478,1,9,3,46,214,360,13,8,20406,3.6363636363636362,4.0,1.3478260869565217,33,34.549823392543225,-94.23017609070253
"Eureka County, NV",289.017341,0,2,0,4,14,13,2,0,2076,3.6785714285714284,3.5,1.411764705882353,28,40.30721336569712,-116.64279580841378
"Clark County, WI",288.8920988,0,0,1,99,80,177,18,4,34615,4.27,4.25,1.6458333333333333,50,44.71009550500299,-90.67829279319353
"Orange County, NY",288.8772924,9,68,377,632,1361,6868,242,35,375592,4.17,4.0,1.75,50,41.40988854406836,-74.35564594970253
